Student,LPIPS,SSIM
112598038.jpg,0.0,1.0
112598057.jpg,0.22398407757282257,0.8191400622672568
112C71002.jpg,0.23735004663467407,0.7966805301586625
112C71014.jpg,0.2789234220981598,0.7929771830020873
112598067.jpg,0.32684049010276794,0.7800509754293373
110599004.jpg,0.3432958722114563,0.7657423551007644
112C52004.jpg,0.35799455642700195,0.7529244400706729
112598033.jpg,0.36937016248703003,0.7668877009645425
